Date	SWE_Inches
1944-02-01	
1944-03-01	
1944-04-01	
1945-02-01	
1945-03-01	
1945-04-01	
1945-05-01	
1945-06-01	
1946-02-01	
1946-03-01	
1946-04-01	
1947-02-01	
1947-03-01	
1947-04-01	
1948-02-01	
1948-03-01	
1948-04-01	
1949-02-01	
1949-03-01	
1949-04-01	
1950-02-01	
1950-03-01	
1950-04-01	
1951-02-01	
1951-03-01	
1951-04-01	
1952-02-01	
1952-03-01	
1952-04-01	
1952-05-01	
1953-02-01	
1953-03-01	
1953-04-01	
1954-02-01	
1954-03-01	
1954-04-01	
1954-05-01	
1955-02-01	
1955-03-01	
1955-04-01	
1955-05-01	
1956-02-01	
1956-03-01	
1956-04-01	
1956-05-01	
1957-02-01	
1957-03-01	
1957-04-01	
1957-05-01	
1958-02-01	
1958-03-01	
1958-04-01	
1958-05-01	
1959-02-01	
1959-03-01	
1959-04-01	
1959-05-01	
1960-02-01	
1960-03-01	
1960-04-01	
1960-05-01	
1961-02-01	
1961-03-01	
1961-04-01	
1961-05-01	
1962-02-01	
1962-04-01	
1962-05-01	
1963-02-01	
1963-03-01	
1963-04-01	
1963-05-01	
1964-02-01	
1964-03-01	
1964-04-01	
1964-05-01	
1965-02-01	
1965-03-01	
1965-04-01	
1965-05-01	
1966-02-01	
1966-03-01	
1966-04-01	
1966-05-01	
1967-02-01	
1967-03-01	
1967-04-01	
1967-05-01	
1968-02-01	
1968-03-01	
1968-04-01	
1968-05-01	
1969-02-01	
1969-03-01	
1969-04-01	
1970-02-01	
1970-03-01	
1970-04-01	
1970-05-01	
1971-02-01	
1971-03-01	
1971-04-01	
1971-05-01	
1972-02-01	
1972-03-01	
1972-04-01	
1972-05-01	
1973-02-01	
1973-03-01	
1973-04-01	
1973-05-01	
1974-02-01	
1974-03-01	
1974-04-01	
1974-05-01	
1975-02-01	
1975-03-01	
1975-04-01	
1975-05-01	
1976-02-01	
1976-03-01	
1976-04-01	
1976-05-01	
1977-02-01	
1977-03-01	
1977-04-01	
1978-02-01	
1978-03-01	
1978-04-01	
1979-02-01	
1979-03-01	
1980-02-01	
1980-03-01	
1980-04-01	
1980-05-01	
1981-02-01	
1981-03-01	
1981-04-01	
1982-01-01	
1982-02-01	
1982-03-01	
1982-04-01	
1983-01-01	
1983-03-01	
1983-04-01	
1983-05-01	
1984-02-01	
1984-03-01	
1984-04-01	
1985-02-01	
1985-03-01	
1985-04-01	
1986-02-01	
1986-03-01	
1986-04-01	
1987-02-01	
1987-03-01	
1987-04-01	
1987-05-01	
1988-02-01	
1988-03-01	
1988-04-01	
1988-05-01	
1989-02-01	
1989-03-01	
1989-04-01	
1990-01-01	
1990-02-01	12.7
1990-03-01	19.7
1990-04-01	19.4
1990-05-01	
1990-06-01	
1990-07-01	
